filename,energy,filepath,category
17_18_i00_w1.cif,-1602.077603988398,configs/17_18/17_18_i00_w1.cif,17_18
17_18_i12_w1.cif,-1602.077603988398,configs/17_18/17_18_i12_w1.cif,17_18
17_18_i04_w1.cif,-1602.077603988398,configs/17_18/17_18_i04_w1.cif,17_18
17_18_i08_w1.cif,-1602.077603988398,configs/17_18/17_18_i08_w1.cif,17_18
17_18_i07_w1.cif,-1601.8330657599045,configs/17_18/17_18_i07_w1.cif,17_18
17_18_i11_w1.cif,-1601.8330657599045,configs/17_18/17_18_i11_w1.cif,17_18
17_18_i15_w1.cif,-1601.8330657599045,configs/17_18/17_18_i15_w1.cif,17_18
17_18_i03_w1.cif,-1601.8330657599045,configs/17_18/17_18_i03_w1.cif,17_18
17_18_i05_w1.cif,-1601.708979403335,configs/17_18/17_18_i05_w1.cif,17_18
17_18_i09_w1.cif,-1601.708979403335,configs/17_18/17_18_i09_w1.cif,17_18
17_18_i01_w1.cif,-1601.708979403335,configs/17_18/17_18_i01_w1.cif,17_18
17_18_i13_w1.cif,-1601.708979403335,configs/17_18/17_18_i13_w1.cif,17_18
17_18_i16_w1.cif,-1601.627302949174,configs/17_18/17_18_i16_w1.cif,17_18
17_18_i17_w1.cif,-1601.627302949174,configs/17_18/17_18_i17_w1.cif,17_18
17_18_i06_w1.cif,-1599.3274656294266,configs/17_18/17_18_i06_w1.cif,17_18
17_18_i10_w1.cif,-1599.3274656294266,configs/17_18/17_18_i10_w1.cif,17_18
17_18_i14_w1.cif,-1599.3274656294266,configs/17_18/17_18_i14_w1.cif,17_18
17_18_i02_w1.cif,-1599.327465629426,configs/17_18/17_18_i02_w1.cif,17_18
